title	year	rated	min_age	runtime(min)	genres	director	actors	plot	languages	country	awards	imdbRating	rottenTomatoesRating	metacriticRating	boxoffice	production	ReleaseDate	viewCount	commentCount	likeCount	dislikeCount	Production Budget	Domestic Total Gross	Distributor	actorAR	directorAR	languageAR	countryAR	genreAR	ratingAR	productionAR	distributionAR
Alone in the Dark	2005	R	17.0	96	Action; Horror; Sci-Fi	Uwe Boll	Christian Slater; Tara Reid; Stephen Dorff; Frank C. Turner	Edward Carnby detective of the paranormal unexplained and supernatural investigates a mystery (the recent death of a friend) with clues leading to Shadow Island that brings him face to face with bizarre horrors that prove both psychologically disturbing and lethal as he discovers that evil demons worshiped by an ancient culture called the Abskani are planning on coming back to life in the 21st century to once again take over the world and only he and a young genius anthropologist with an incredible memory (and his ex-girlfriend) Aline Cedrac stand in their way at a gateway to hell Standing in Carnbys way however is the impact that a brief encounter with an evil spirit called the Queen had upon his mind as he slowly finds himself overpowered by the forces of darkness as they eat away at his very sanity	English	Canada; Germany; USA	5 wins & 4 nominations	2.3	1.0	9	5132655.0	Lionsgate	28-Jan-05	245766.0	59.0	99.0	132.0	20000000.0	5178569.0	Lionsgate	-40817333	-18708005	17873617	42542776	62533409	10903945	11929887	19635505
The Amityville Horror	2005	R	17.0	90	Drama; Horror; Mystery	Andrew Douglas	Ryan Reynolds; Melissa George; Jesse James; Jimmy Bennett	In December 1975 George and Kathy Lutz along with their three children move into an elegant Long Island house What they dont know is that the house was the site of a horrific mass murder a year before They decide to keep the house and attempt to keep the horror in the past but are now haunted by a murderous presence This is until George starts to behave weirdly and their daughter Chelsea starts to see people What follows is 28 days of sheer unbridled terror for the family with demonic visions of the dead Based on the true story of George and Kathy Lutz The Amityville Horror remains one of the most horrifying haunted house stories ever told - because it actually happened	English	USA	2 wins & 4 nominations	6.0	24.0	33	64255243.0	MGM	15-Apr-05	193572.0	44.0	199.0	15.0		86432000.0	American International Pictures	206026666	86432000	17873617	18312090	49035518	10903945	13463140	86432000
Are We There Yet?	2005	PG	7.0	95	Adventure; Comedy; Family	Brian Levant	Ice Cube; Nia Long; Aleisha Allen; Philip Bolden	Nick Persons is a selfish player who owns a collectables sports shop in Portland Oregon Everything in his life is perfect until he meets Suzanne Kingston a business woman who has something Nick hates - children: Lindsey and Kevin Nick and Suzanne become friends and share good moments with each other But Nicks peaceful life gets altered when Suzanne asks him to drive her kids to Vancouver After the 3 miss a plane and then train they drive Unfortunately Kevin and Lindsey hate Nick and he has to try to make it to Vancouver unaware of the terror and torture he is in for	English	USA; Canada	1 win & 8 nominations	4.6	11.0	27	82301521.0	Sony Pictures	21-Jan-05	1089554.0	226.0			32000000.0	82674398.0	Sony (Revolution)	192563473	23490742	17873617	33362845	80160220	32411955	22953828	19501931
The Aristocrats	2005	UNRATED		89	Documentary; Comedy	Paul Provenza	Chris Albrecht; Jason Alexander; Hank Azaria; Shelley Berman	Comedy veterans and co-creators Penn Jillette and Paul Provenza capitalize on their insider status and invite over 100 of their closest friends--who happen to be some of the biggest names in entertainment from George Carlin Whoopi Goldberg and Drew Carey to Gilbert Gottfried Bob Saget Paul Reiser and Sarah Silverman--to reminisce analyze deconstruct and deliver their own versions of the worlds dirtiest joke an old burlesque too extreme to be performed in public called The Aristocrats	English	USA	6 nominations	6.4		72		Planetmatt Entertainment	29-Jul-05	64994.0	10.0	63.0	9.0		6377461.0	ThinkFilm	19012038	6377461	17873617	18312090	26731343	1314716	6377461	1828812
Assault on Precinct 13	2005	R	17.0	109	Action; Crime; Drama	Jean-François Richet	Ethan Hawke; Laurence Fishburne; Gabriel Byrne; Maria Bello	On New Years Eve inside a police station thats about to be closed for good officer Jake Roenick must cobble together a force made up cops and criminals to save themselves from a mob looking to kill mobster Marion Bishop	English; Serbian	France; USA	1 win & 2 nominations	6.3	60.0	54	19976073.0	Focus Features	19-Jan-05	466185.0	119.0	378.0	49.0	30000000.0	20040895.0	Rogue Pictures	12063957	-9959105	6292006	28590532	40282196	10903945	10408181	11312201
Bad News Bears	2005	PG-13	13.0	113	Comedy; Sport	Richard Linklater	Billy Bob Thornton; Greg Kinnear; Marcia Gay Harden; Sammi Kane Kraft	Morris Buttermaker an alcoholic pest removal worker and former professional baseball player (for a very short time) is recruited to coach and train a failing baseball team of 12-year-olds which is about to be thrown out of the league	English; Spanish	USA	1 win & 4 nominations	5.8		65			22-Jul-05	262414.0				35000000.0	32868349.0	Paramount	24522611	1315169	36646372	18312090	46292542	20534031	6954238	21368996
The Ballad of Jack and Rose	2005	R	17.0	112	Drama	Rebecca Miller	Camilla Belle; Daniel Day-Lewis; Catherine Keener; Ryan McDonald	Jack lives on the site of his abandoned island commune with his 16-year-old daughter Rose Jack has sheltered Rose from the influences of the outside world but now Roses emerging womanhood poses troubling questions about the days ahead A man who has lived a life motivated by environmentalism and other altruistic causes Jack now rages at those who do not share his concerns like developer Marty Rance who is building a housing tract on the edge of his property When Jack invites his girlfriend Kathleen and her sons Rodney and Thaddius to live with them Rose feels betrayed and the situation quickly becomes precarious Rose acts out wildly creating chaos As everything flies out of control Jack finds himself trapped in an impossible place and is forced to take action	English	USA	3 wins & 6 nominations	6.7	47.0	59	578570.0	IFC Films	25-Mar-05	345122.0	47.0	288.0	19.0		712275.0	IFC	78852043	524815	17873617	18312090	10727269	10903945	841339	774046
Batman Begins	2005	PG-13	13.0	140	Action; Adventure; Thriller	Christopher Nolan	Christian Bale; Michael Caine; Liam Neeson; Katie Holmes	When his parents are killed billionaire playboy Bruce Wayne relocates to Asia where he is mentored by Henri Ducard and Ras Al Ghul in how to fight evil When learning about the plan to wipe out evil in Gotham City by Ducard Bruce prevents this plan from getting any further and heads back to his home Back in his original surroundings Bruce adopts the image of a bat to strike fear into the criminals and the corrupt as the icon known as Batman But it doesnt stay quiet for long	English; Urdu; Mandarin	USA; UK	Nominated for 1 Oscar Another 14 wins & 71 nominations	8.3	84.0	70	204100000.0	Warner Bros. Pictures	15-Jun-05	13156.0	4.0	30.0	6.0	150000000.0	205343774.0	Warner Bros.	117916698	114475047	61068103	33377321	67074267	20534031	27495698	25532021
The Baxter	2005	PG-13	13.0	91	Comedy; Romance	Michael Showalter	Michael Showalter; Elizabeth Banks; Michelle Williams; Justin Theroux	In the style of a Howard Hawks comedy Baxter follows the twists and turns of a young mans life during the two weeks before his wedding	English	USA		6.7	32.0	51		IFC Films	26-Aug-05	30699.0	5.0	29.0	0.0		181872.0	IFC	30934048	21527499	17873617	18312090	37805640	20534031	841339	774046
Be Cool	2005	PG-13	13.0	118	Comedy; Crime; Music	F. Gary Gray	John Travolta; Uma Thurman; Vince Vaughn; Cedric the Entertainer	Streetwise mobster-turned-movie producer Chili Palmer is back but this time Chili has abandoned the fickle movie industry and veered into the music business tangling with Russian mobsters and gangsta rappers and taking a talented feisty young singer named Linda Moon under his wing From the recording studio to an Aerosmith concert to the MTV Music Awards he manipulates events to watch them play out the Chili way using his signature blend of wiseguy skills and negotiation tactics Its a dangerous business and everyones looking for their next big hit	English; Russian	USA	1 win & 13 nominations	5.7	29.0	37	55590667.0	MGM	4-Mar-05	27261.0	0.0	35.0	4.0	53000000.0	56046979.0	MGM	85116146	804363	28865665	18312090	50502561	20534031	13463140	5569539
